rebalance_date,ticker,posterior,earnings_date,earnings_day_return,ret_m1_p1,ret_0_p2,full_hold_return
2016-01-29,SRPT,0.790367,2016-02-25,-0.004851,-0.062191,-0.049896,0.15404
2016-01-29,EFX,0.779919,2016-02-24,0.012604,0.03067,0.031316,-0.008696
2016-01-29,MSCI,0.76411,2016-02-26,-0.001378,-0.013016,-0.01447,0.027702
2016-02-29,ABCB,0.848813,2016-02-29,-0.00626,0.038389,0.014359,0.09787
2016-02-29,MTN,0.793621,2016-03-10,-0.039952,-0.002511,-0.009104,0.056126
2016-02-29,PLAB,0.782257,2016-03-03,0.003006,0.012183,0.001002,0.023599
2016-03-31,SYK,0.876176,2016-04-22,0.000823,-0.011199,0.00183,0.016032
2016-03-31,DPZ,0.851632,2016-04-28,-0.098482,-0.096629,-0.099229,-0.08327
2016-03-31,CWT,0.792872,2016-04-28,-0.009266,0.0,0.013186,0.045284
2016-04-29,SRPT,0.785462,2016-05-05,-0.026713,-0.017758,0.02381,0.474982
2016-04-29,PSA,0.768968,2016-05-06,0.012497,0.028352,0.018765,0.036355
2016-04-29,UNH,0.766639,2016-05-04,-0.003246,0.00159,-0.003171,0.015112
2016-04-29,FICO,0.76028,2016-05-04,-0.005907,-0.025973,0.010099,0.044427
2016-04-29,NNN,0.75908,2016-05-02,0.022166,0.021656,0.061243,0.035877
2016-06-30,PM,0.750158,2016-07-26,-0.007521,-0.02514,-0.006117,-0.014353
2016-06-30,GPN,0.749762,2016-07-28,-0.00306,-0.05768,-0.060182,0.045951
2016-06-30,SYK,0.740544,2016-07-22,-0.045121,-0.05255,-0.049935,-0.029625
2016-07-29,ABCB,0.858484,2016-08-09,0.008958,-0.01716,-0.002687,0.05006
2016-07-29,MDU,0.836091,2016-08-05,0.003393,0.007234,-0.010602,-0.019959
2016-07-29,COP,0.832699,2016-08-02,0.004544,-0.012494,0.01237,0.005634
2016-07-29,ATO,0.746882,2016-08-03,-0.003913,-0.005162,-0.013886,-0.071141
2016-07-29,LNT,0.742377,2016-08-02,0.003725,-0.00323,-0.003476,-0.057143
2016-07-29,DLR,0.734938,2016-08-09,0.015547,0.006538,0.012956,-0.051407
2016-08-31,FIZZ,0.784974,2016-09-08,0.00336,0.026681,0.104158,-0.114217
2016-09-30,SYK,0.884707,2016-10-28,0.041469,0.049686,0.046208,-0.009106
2016-09-30,AMD,0.817379,2016-10-26,-0.028,0.014265,-0.04,0.04631
2016-10-31,OLED,0.854941,2016-11-03,0.022638,0.036822,0.088583,0.057059
2016-10-31,GNW,0.838425,2016-11-08,-0.007371,-0.012438,-0.017199,0.033816
2016-10-31,MELI,0.771087,2016-11-04,0.006089,0.015905,0.05299,-0.060651
2016-10-31,SRPT,0.752342,2016-11-07,-0.008926,0.017492,0.088243,-0.126912
2016-10-31,TREX,0.742249,2016-11-08,0.111132,0.129333,0.198056,0.222636
2016-10-31,CC,0.726121,2016-11-07,0.127486,0.202274,0.197661,0.506706
2016-10-31,PEN,0.72574,2016-11-03,-0.04789,-0.092215,-0.004058,-0.06141
2016-12-30,WOR,0.754133,2017-01-06,-0.017761,-0.048966,-0.016935,0.007378
2017-01-31,AMD,0.859772,2017-02-21,0.06626,0.101002,0.090632,0.394407
2017-01-31,NSIT,0.845556,2017-02-17,-0.002691,-0.020717,-0.008969,0.140856
2017-01-31,CC,0.843853,2017-02-17,0.036364,0.089351,0.099687,0.275126
2017-01-31,SYK,0.81872,2017-02-09,0.007434,0.00653,0.015685,0.040719
2017-01-31,ABCB,0.789052,2017-02-27,0.004103,-0.018293,-0.015385,0.070953
2017-01-31,SM,0.788742,2017-02-23,-0.052536,-0.112835,-0.082609,-0.192068
2017-02-28,NVDA,0.840294,2017-03-01,0.012909,-0.051815,-0.030055,0.073413
2017-02-28,FBP,0.8366,2017-03-16,0.033275,0.04363,0.012259,-0.11442
2017-02-28,CENX,0.786893,2017-03-14,-0.024135,0.037187,0.018504,-0.099361
2017-02-28,CENX,0.786893,2017-03-16,-0.01325,-0.001649,-0.032736,-0.099361
2017-03-31,AGX,0.786615,2017-04-11,0.094017,0.008601,0.00777,0.010582
2017-03-31,SYK,0.757567,2017-04-27,-0.006021,0.005753,-0.003084,0.035853
2017-04-28,NVDA,0.827045,2017-05-23,-0.013463,0.018897,-0.004608,0.385446
2017-04-28,CC,0.766521,2017-05-03,-0.021068,-0.020138,0.034362,-0.006765
2017-04-28,GKOS,0.764637,2017-05-04,-0.105208,-0.134703,-0.143847,-0.143488
2017-04-28,AMD,0.762233,2017-05-08,-0.01472,0.007921,0.058881,-0.158647
2017-04-28,CGNX,0.739789,2017-05-01,0.003398,0.052006,0.039724,0.073281
2017-04-28,HOPE,0.722427,2017-05-18,0.015766,-0.018428,0.028716,-0.049154
2017-06-30,SYK,0.871077,2017-07-28,0.026033,0.009263,0.026519,0.059951
2017-06-30,DXPE,0.842847,2017-07-27,-0.040981,-0.12206,-0.077444,-0.171304
2017-07-31,ABCB,0.855729,2017-08-09,-0.017525,-0.037486,-0.052574,-0.03821
2017-07-31,NVRI,0.753739,2017-08-03,0.067524,0.087662,0.061093,0.106796
2017-07-31,PI,0.750179,2017-08-14,-0.005626,-0.047902,-0.048268,-0.221815
2017-07-31,LNTH,0.740111,2017-08-01,0.01084,-0.207161,-0.119241,-0.051491
2017-08-31,EXTR,0.813631,2017-09-13,-0.033419,-0.043074,-0.037704,0.040245
2017-10-31,UCTT,0.910428,2017-11-08,0.0025,-0.035842,-0.021667,-0.1779
2017-10-31,TGTX,0.85315,2017-11-09,0.077922,0.119205,0.071429,0.055215
2017-10-31,PTCT,0.786414,2017-11-02,0.004502,-0.06937,-0.034328,-0.14888
2017-10-31,CORT,0.784932,2017-11-03,-0.121258,-0.04712,-0.116692,-0.088878
2017-10-31,MMSI,0.773351,2017-11-09,-0.001333,-0.026455,0.005333,0.141919
2017-10-31,CENX,0.764528,2017-11-08,-0.006081,-0.025308,-0.031081,-0.053571
2017-11-30,MU,0.821998,2017-12-20,0.040246,0.016243,0.003183,-0.02996
2018-01-31,OLED,0.824358,2018-02-22,-0.004499,-0.190565,-0.154435,-0.185696
2018-01-31,FIX,0.783911,2018-02-22,0.029412,0.009852,0.040441,-0.036384
2018-01-31,SEDG,0.78053,2018-02-20,0.031522,0.04253,0.051087,0.39415
2018-01-31,LGIH,0.743727,2018-02-27,-0.055923,-0.139054,-0.143115,-0.163859
2018-01-31,NSIT,0.737572,2018-02-26,0.017154,0.014205,-0.017717,-0.058998
2018-01-31,AWR,0.716018,2018-02-26,0.005871,0.014956,-0.0255,-0.033362
2018-02-28,PCRX,0.805592,2018-02-28,0.003205,0.028302,0.065705,-0.004792
2018-02-28,PENN,0.756153,2018-03-01,-0.003758,-0.01518,-0.039835,-0.013153
2018-02-28,MOH,0.748932,2018-03-01,-0.005809,-0.001095,0.024758,0.122821
2018-02-28,CORT,0.744864,2018-02-28,-0.039216,-0.049454,-0.053763,0.082949
2018-02-28,ROG,0.726804,2018-02-28,-0.119518,-0.20528,-0.152732,-0.129479
2018-03-29,LMT,0.713622,2018-04-25,-0.020773,-0.078639,-0.042973,-0.050573
2018-03-29,SSTK,0.711553,2018-04-26,-0.111464,-0.154384,-0.162726,-0.124819
2018-03-29,SYK,0.705775,2018-04-27,0.015228,0.024429,0.004937,0.052821
2018-04-30,COLL,0.760132,2018-05-09,0.035915,0.105444,0.102986,-0.043552
2018-04-30,ALNY,0.743148,2018-05-04,0.045748,0.082204,0.088665,0.052259
2018-04-30,CNP,0.723666,2018-05-04,0.039795,0.045954,0.046099,0.042706
2018-04-30,ARMK,0.722802,2018-05-08,0.059379,0.006446,0.024561,0.041111
2018-04-30,ROP,0.713636,2018-05-04,0.017116,0.030384,0.026561,0.043908
2018-04-30,JOE,0.713414,2018-05-02,0.008596,0.011594,0.00573,0.031884
2018-04-30,HCC,0.712938,2018-05-02,0.034929,0.122338,0.188332,0.171043
2018-07-31,ENPH,0.889501,2018-08-06,0.074627,0.029825,0.072761,-0.178151
2018-07-31,NSIT,0.801647,2018-08-13,-0.002629,0.006013,0.013894,0.096877
2018-07-31,HCC,0.726601,2018-08-01,0.026672,-0.035593,-0.03142,-0.068599
2018-07-31,SRPT,0.722743,2018-08-08,-0.003705,0.084679,0.066354,0.187543
2018-07-31,PENN,0.697835,2018-08-01,-0.018721,0.006041,0.007488,0.075195
2018-09-28,AZZ,0.800657,2018-10-09,-0.06205,-0.076185,-0.04849,-0.118502
2018-09-28,TREX,0.787464,2018-10-29,-0.036798,-0.020078,0.016078,-0.203689
2018-09-28,MEDP,0.734223,2018-10-30,0.018735,0.0911,0.157547,-0.130362
2018-10-31,VCEL,0.846833,2018-11-06,0.442808,0.421797,0.438475,0.576682
2018-10-31,MOH,0.823016,2018-11-01,-0.015619,-0.022258,-0.016171,0.102075
2018-10-31,NOG,0.820595,2018-11-09,0.020134,-0.111111,-0.117449,-0.136054
2018-10-31,FOXF,0.775094,2018-10-31,0.039667,0.247138,0.236842,0.185744
2018-10-31,STAA,0.755456,2018-10-31,0.04236,0.123219,0.142412,-0.052356
2018-10-31,TNDM,0.753925,2018-11-01,0.08083,0.152782,0.007179,-0.021005
2018-11-30,FIVE,0.737815,2018-12-06,-0.026678,-0.132904,-0.027443,-0.023571
2018-11-30,LULU,0.720699,2018-12-06,-0.016315,-0.186003,-0.139275,-0.082535
2019-01-31,EVTC,0.830317,2019-02-26,-0.008696,-0.037543,-0.004522,0.036098
2019-01-31,VCEL,0.809159,2019-02-26,-0.054,-0.053654,-0.0645,0.087791
2019-01-31,FOXF,0.805968,2019-02-26,-0.027367,0.028539,0.008433,0.068262
2019-01-31,ORLY,0.80139,2019-02-27,-0.026664,-0.00853,-0.018384,0.079209
2019-01-31,ENSG,0.788326,2019-02-06,0.003862,0.105145,0.067242,0.134955
2019-01-31,GRMN,0.772023,2019-02-20,0.170354,0.150795,0.170494,0.213791
2019-01-31,CHD,0.756472,2019-02-21,0.018633,0.02032,0.005543,0.022013
2019-02-28,FBP,0.78343,2019-03-01,0.0,0.001753,-0.01477,-0.004345
2019-04-30,TNDM,0.912228,2019-04-30,-0.03047,-0.06064,-0.009157,0.116431
2019-04-30,VCYT,0.827172,2019-04-30,-0.008669,0.076561,0.047681,-0.009182
2019-04-30,AES,0.817295,2019-05-07,-0.016656,-0.056113,-0.041047,-0.077103
